frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;6056.424947;6056.526580;6056.527120;784142;0;0;142128;142128;108;108;142128;142216;100.000;266.961;263.502;34.132;37.480;34.132;0.524;0.041;0.045;0.540;0.000;0.540;8.378;100.000;101.634;0.540;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;6056.458566;6056.558936;6056.558958;783406;0;0;28952;28952;22;22;28952;29040;100.000;5088.435;1310.957;6.970;7.635;6.970;0.015;0.015;0.017;31.838;31.816;0.022;77.800;0.070;100.370;-0.955;0.978;0.061;0;0;0;0;0;0;0;0
3;1;1;1;6056.493063;6056.597737;6056.628601;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.746;0.746;5.526;6.066;5.526;30.857;0.017;0.020;69.642;38.779;30.863;0.064;44.317;104.674;35.354;5.468;0.399;0;0;0;0;0;0;0;0
4;1;1;1;6056.525895;6056.628637;6056.658966;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.747;0.747;5.436;5.976;5.436;30.326;0.009;0.010;30.365;0.036;30.329;0.034;99.880;102.741;32.385;2.434;0.526;0;0;0;0;0;0;0;0
5;1;1;1;6056.561247;6056.659030;6056.693906;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.639;0.639;5.345;5.855;5.345;34.855;0.008;0.009;34.940;0.065;34.875;0.027;99.814;97.783;33.992;2.940;0.677;0;0;0;0;0;0;0;0
6;1;1;1;6056.593793;6056.693958;6056.729856;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.683;0.683;5.887;6.458;5.887;35.895;0.012;0.013;35.951;0.052;35.898;0.035;99.854;100.165;36.609;1.594;0.734;0;0;0;0;0;0;0;0
7;1;1;1;6056.625347;6056.729948;6056.729966;775949;0;0;25004;25004;19;19;25004;25092;100.000;10600.497;1446.127;6.022;6.594;6.022;0.015;0.015;0.015;0.109;0.092;0.017;87.121;15.890;104.602;3.385;2.657;0.854;0;0;0;0;0;0;0;0
8;1;1;1;6056.659629;6056.760604;6056.795571;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.761;0.761;6.383;7.017;6.383;34.962;0.012;0.015;65.605;30.638;34.967;0.042;53.299;100.975;35.657;2.678;0.968;0;0;0;0;0;0;0;0
9;1;1;1;6056.693897;6056.795632;6056.828309;775698;0;0;26132;26132;20;20;26132;26220;100.000;0.803;0.802;6.293;6.896;6.293;32.675;0.012;0.013;32.738;0.061;32.677;0.041;99.815;101.734;35.062;1.695;1.014;0;0;0;0;0;0;0;0
10;1;1;1;6056.725297;6056.828359;6056.860778;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.786;0.786;6.112;6.715;6.112;32.415;0.014;0.015;32.469;0.050;32.419;0.047;99.847;103.062;34.197;0.606;0.988;0;0;0;0;0;0;0;0
11;1;1;1;6056.759470;6056.860833;6056.894755;778554;0;0;23876;23876;19;19;23876;23964;100.000;0.707;0.706;5.751;6.323;5.751;33.919;0.014;0.016;33.978;0.055;33.922;0.047;99.837;101.363;34.842;0.859;0.980;0;0;0;0;0;0;0;0
12;1;1;1;6056.793034;6056.894808;6056.929384;779986;0;0;25756;25756;20;20;25756;25844;100.000;0.748;0.747;6.203;6.805;6.203;34.572;0.022;0.023;34.628;0.053;34.576;0.067;99.848;101.774;36.137;0.642;0.959;0;0;0;0;0;0;0;0
13;1;1;1;6056.825468;6056.929453;6056.961832;780926;0;0;25944;25944;20;20;25944;26032;100.000;0.804;0.804;6.248;6.851;6.248;32.378;0.018;0.020;32.449;0.069;32.380;0.061;99.787;103.984;35.252;1.311;0.981;0;0;0;0;0;0;0;0
14;1;1;1;6056.859025;6056.961884;6056.995128;782770;0;0;26696;26696;21;21;26696;26784;100.000;0.806;0.806;6.428;7.062;6.428;33.241;0.014;0.016;33.296;0.051;33.245;0.048;99.846;102.858;35.215;0.903;0.976;0;0;0;0;0;0;0;0
